,Unnamed: 0.1,Unnamed: 0,Sukupuoli,Minkä ikäisenä opit neulomaan?,Kuka sinut opetti neulomaan?,Mitä seuraavista vaihtoehdoista neulot?,Missä neulot?,Neulotko yksin vai yhdessä?,Kuinka monta tuntia arviolta neulot viikossa?,Mitä neulominen sinulle merkitsee?,Paljonko käytät lankoihin keskimäärin rahaa kuukaudessa?,Minkä valmistajien lankoja ostat?,Valitse kolme tärkeintä ominaisuutta lankaa valitessa,Kenelle neulot?,Minkä vahvuisia lankoja käytät?,Mistä hankit neuleohjeesi?,Mitä seuraavista neulot mieluiten?,Mitä värejä käytät neuleissasi mieluiten?,Käytätkö ennemmin murrettuja vai kirkkaita sävyjä?,Mitä materiaaleja suosit neulelangoissa?,Mitä materiaaleja suosit neulepuikoissa?,Teetkö muita käsitöitä?,Teetkö neulonnan ohessa yleensä jotain seuraavista?,"Millaista ""neulesomea"" kulutat netissä?",xMinkä vahvuisia lankoja käytät?
306,306,306,Nainen,11,Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Rannalla,Yksin;Ystävien kesken,10-19 tuntia,"Rentoutumista;Luovuutta;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Gjestal;Kaupunkilanka;Kotikulta;MyHome;Novita,Hinta;Konepestävyys;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Worsted (205–240 m / 100 g),Lehdistä;Netistä;Ystäviltä tai sukulaisilta,Raitoja;Pitsineuletta;Palmikkoneuletta,"Mustaa, valkoista ja harmaata;Punaista;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Puuvilla,Alumiini,Virkkaus,Katson televisiota,Facebook-sivut;Facebook-ryhmät;Pinterest,Worsted (200–240 m / 100 g)
307,307,307,Nainen,7,Isoäiti,Sukkia/tossuja;Pipoja/päähineitä;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Elokuvateatterissa (neulenäytös);Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa,Yksin;Perheen seurassa;Ystävien kesken,10-19 tuntia,Rentoutumista;Itseilmaisua;Luovuutta,50 - 59 €,DROPS;Jalovilla;Novita;Sandnes Garn;Tukuwool;,Kotimaisuusaste;Materiaali;Vahvuus,Itselle;Perheelle;Ystäville,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Lehdistä;Netistä,Yksiväristä ilman pintakuvioita;Pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Alpakka;Mohair,Metalli,Ompelu;Puutyöt;Askartelu;Helmityöt,Kuuntelen äänikirjaa;Katson televisiota;Katson YouTubea ,Neulepodcastit;Instagram;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
308,308,308,Nainen,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Odotustilassa (esim. terveyskeskus/virasto),Yksin;Perheen seurassa;Neulekerhossa tai -kahvilassa,40 tuntia tai enemmän,Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä,20 - 29 €,"House;Novita;Sandnes Garn;Hobbii, Filcolana",Hinta;Vahvuus;Väri,Itselle;Perheelle,Lace (605–1000 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Raitoja;Pitsineuletta;Palmikkoneuletta;Toistuvaa pintakuviota;Yksiväristä ilman pintakuvioita,"Sinistä;Vihreää;Keltaista;Punaista;Oranssia;Pinkkiä;Lilaa/violettia;Beigeä, ruskeaa",Kirkkaita ja neonvärejä,"Villasekoite;Puuvilla;Merinovilla;Mohair;Silkki;Keinokuidut (kuten akryyli, nylon, polyesteri)",Koivu,Virkkaus;Kirjonta/ristipistot;Ompelu,Vaihtelee,Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry,Lace (600–1000 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
309,309,309,Nainen,7,Opettaja (koulussa tai kurssilla);Isoäiti;Naapurin täti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja;Neuletakkeja;Housuja,Kotona/vapaa-ajan asunnolla;Neuletapahtumissa;Kerrostalon kotipihan keinussa kesällä,Yksin;Neulekerhossa tai -kahvilassa;Kotona yksin ja keinussa myös yksin neulon vaikka muita olisi seurana,20-29 tuntia,"Rentoutumista;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",50 - 59 €,DROPS;Istex;Katia;Kaupunkilanka;Novita,Hinta;Materiaali;Vahvuus,Itselle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä;Ystäviltä tai sukulaisilta,Kirjoneuletta;Raitoja;Palmikkoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Pinkkiä","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla;Alpakka,Koivu;Hiilikuitu,Virkkaus;Huovutus,Kuuntelen radiota/musiikkia;Katson televisiota,Instagram;Facebook-ryhmät;Pinterest;Ravelry;Youtube,Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g)
310,310,310,Nainen,12,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa,"Miten milloinkin, yksin tai yhdessä muiden kanssa.",6-9 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa",40 - 49 €,Adlibris;Alize;Austermann;DROPS;Gjestal;Handu;Holst Garn;Katia;Kaupunkilanka;Lankava;Louhittaren Luola;Novita;Nurja;Opal;Regia;Sandnes Garn;Tukuwool;Viking Garn,Hinta;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Pitsineuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Pinkkiä",Kirkkaita ja neonvärejä,100% villa;Villasekoite;Puuvilla;Merinovilla;Silkki;Bambu;Pellava,Metalli,Virkkaus;Kirjonta/ristipistot;Kudonta;Ompelu;Askartelu;Huovutus;Langanvärjäys,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-ryhmät;Pinterest;Ravelry;Neuleblogit;Youtube,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
311,311,311,Nainen,10,Äiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Autossa,Yksin,10-19 tuntia,Rentoutumista;Elinkeinoa/lisätuloa;Tarpeeseen tekemistä,40 - 49 €,DROPS;Istex;Kotikulta;Novita;Pirtin Kehräämö,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville;Myyntiin,Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta,Pinkkiä;Lilaa/violettia,"Murrettuja, luonnonläheisiä sävyjä",100% villa;Puuvilla;Merinovilla,Koivu;Metalli,Nahkatyöt,Katson televisiota,Instagram;Facebook-sivut;Facebook-ryhmät,Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
312,312,312,Nainen,7,Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Autossa;Kampaajalla,Yksin;Perheen seurassa;Ystävien kesken,10-19 tuntia,Rentoutumista;Itseilmaisua;Luovuutta;Tarpeeseen tekemistä,40 - 49 €,Adlibris;DROPS;House;Katia;Lankava;Novita;Viking Garn,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Raitoja;Toistuvaa pintakuviota;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Puuvilla;Merinovilla,Koivu;Bambu,Virkkaus;Ompelu;Macrame;Askartelu,Kuuntelen radiota/musiikkia;Katson televisiota;Seurustelen ihmisten kanssa;Keskityn vain neulomiseen,En mitään yllä olevista,Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
313,313,313,Nainen,7,Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa,Yksin;Perheen seurassa;Neulekerhossa tai -kahvilassa,6-9 tuntia,"Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Hyväntekeväisyyttä, toisten auttamista",20 - 29 €,Lankava;Louhittaren Luola;Novita;Sandnes Garn,Kotimaisuusaste;Materiaali;Vastuullisuus,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Pitsineuletta;Palmikkoneuletta,"Mustaa, valkoista ja harmaata;Punaista","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Puuvilla;Pellava,Koivu;Metalli,En juurikaan,Katson televisiota;Seurustelen ihmisten kanssa,Facebook-ryhmät;Ravelry,Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);DK (220–270 m / 100 g)
314,314,314,Nainen,20,Sisko,Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä);Leluja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa,Yksin;Perheen seurassa,6-9 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista;Tekemistä levottomille käsille, keskittymisapua kuuntelemiseen/ajatteluun",10 - 19 €,DROPS;Gjestal;Istex;Novita;Sandnes Garn;Viking Garn,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Ystäville;Hyväntekeväisyyteen,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Lehdistä;Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Palmikkoneuletta,Vihreää;Punaista;Oranssia,"Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Puuvilla;Merinovilla;Alpakka;Silkki;Pellava,Koivu,Virkkaus;Ompelu;Askartelu;Huovutus,"Kuuntelen radiota/musiikkia;Katson televisiota;Seurustelen ihmisten kanssa;Seuraan luentoa, osallistun kokoukseen",Instagram;Facebook-sivut;Facebook-ryhmät,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
315,315,315,Nainen,20,Opettaja (koulussa tai kurssilla);Opettelin itse,Sukkia/tossuja;Säärystimiä,Kotona/vapaa-ajan asunnolla,Yksin,10-19 tuntia,Itseilmaisua;Luovuutta,Alle 10 €,DROPS,Käsinvärjätty;Materiaali;Väri,Itselle;Perheelle;Hyväntekeväisyyteen,Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g),Netistä,Raitoja,Sinistä;Vihreää;Pinkkiä;Lilaa/violettia,Kirkkaita ja neonvärejä,Merinovilla,Koivu;Bambu,Cosplay,Katson televisiota;Youtube,Facebook-ryhmät,Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g)
316,316,316,Nainen,6,Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Elokuvateatterissa (neulenäytös);Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Odotustilassa (esim. terveyskeskus/virasto);Neulekurssilla;Luennolla/Palaverissa,Yksin;Ystävien kesken,10-19 tuntia,Rentoutumista;Itseilmaisua;Tarpeeseen tekemistä,20 - 29 €,DROPS;Regia;Lana Grossa,Hinta;Konepestävyys;Materiaali,Itselle;Perheelle;Sukulaisille,Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Netistä;Omasta päästä,Kirjoneuletta;Pitsineuletta;Palmikkoneuletta,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Punaista;Oranssia;Pinkkiä;Lilaa/violettia",Kirkkaita ja neonvärejä,Villasekoite;Puuvilla;Merinovilla,Metalli;Puu,Virkkaus,Katson televisiota;Seurustelen ihmisten kanssa,Facebook-ryhmät;Ravelry;Youtube,Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
317,317,317,Nainen,9,Opettaja (koulussa tai kurssilla);Isoäiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Autossa,Yksin;Perheen seurassa,6-9 tuntia,Rentoutumista;Itseilmaisua;Ajanviete,Alle 10 €,"Adlibris;Alize;Austermann;DROPS;Istex;Novita;Pirtin Kehräämö;Regia;Vuonue;Milloin mitäkin, varastossa on paljon",Materiaali;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Pitsineuletta,"Mustaa, valkoista ja harmaata;Vihreää;Keltaista;Punaista;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Puuvilla;Merinovilla;Alpakka;Bambu,Muovi ja puu,Virkkaus,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-sivut;Facebook-ryhmät;Ravelry;Neuleblogit;Youtube,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
318,318,318,Nainen,6,Äiti,"Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä);Leluja, kransseja, koristeita",Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa;Ystävän luona kyläillessä,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,10-19 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista;Lahjaksi",40 - 49 €,Adlibris;Austermann;DROPS;Gjestal;Istex;Katia;Novita;Opal;Pirtin Kehräämö;Regia;Sandnes Garn,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Raitoja;Palmikkoneuletta,"Mustaa, valkoista ja harmaata;Pinkkiä;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Puuvilla;Merinovilla;Alpakka;Bambu;Pellava,Metalli,Virkkaus;Ompelu;Askartelu;Skräppäys,Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
319,319,319,Nainen,9,Opettaja (koulussa tai kurssilla);Opettelin itse,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Neuletapahtumissa;Autossa,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,20-29 tuntia,Rentoutumista;Itseilmaisua;Luovuutta;Elinkeinoa/lisätuloa;Eettisiä/ekologisia vaatteita,50 - 59 €,Adelia Fibres;Adlibris;Austermann;DROPS;Freija yarn;Handu;Holst Garn;Jalovilla;Louhittaren Luola;Lucky Omen Yarns;Novita;Opal;Pirtin Kehräämö;Regia;Rva Silmusolmu;Sandnes Garn;Tukuwool;Vuonue;Wool me once;ei langan merkillä ole väliä,Hinta;Materiaali;Väri,Itselle;Perheelle,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Omasta päästä;suunnittelen itse,Kirjoneuletta;Raitoja;Pitsineuletta;Palmikkoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Vihreää;Keltaista;Oranssia;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla;Mohair;Silkki,Koivu;Metalli;Hiilikuitu,Virkkaus;Ompelu;Langanvärjäys;Kehräys,Katson televisiota,Facebook-ryhmät;Ravelry;Reddit;Discord,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
320,320,320,Nainen,12,Opettaja (koulussa tai kurssilla);Äiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä,Kotona/vapaa-ajan asunnolla;Elokuvateatterissa (neulenäytös);Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Veneillessä;Töissä,Yksin,6-9 tuntia,"Rentoutumista;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Austermann;DROPS;Novita,Konepestävyys;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);DK (220–270 m / 100 g);Aran (165–200 m / 100 g),Lehdistä;Netistä,Raitoja;Pitsineuletta;Palmikkoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Punaista;Oranssia","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla,Metalli,Kirjonta/ristipistot;Pitsinnypläys,Kuuntelen radiota/musiikkia;Katson televisiota;Seurustelen ihmisten kanssa;Keskityn vain neulomiseen,Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry,Fingering (360–450 m / 100 g);DK (220–270 m / 100 g);Aran (160–200 m / 100 g)
321,321,321,Nainen,12,Opettaja (koulussa tai kurssilla);Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Autossa;Nuotiopaikoilla/laavulla/taukopaikalla,Yksin;Perheen seurassa,10-19 tuntia,Rentoutumista,10 - 19 €,Adlibris;Alize;Austermann;DROPS;Gjestal;Kaupunkilanka;Novita;Regia,Hinta;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville;Myyntiin,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Pitsineuletta,"Mustaa, valkoista ja harmaata;Punaista;Oranssia","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla;Alpakka,Hiilikuitu,Macrame,Katson televisiota,Instagram;Facebook-sivut;Facebook-ryhmät,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
322,322,322,Nainen,10,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Lapasia/sormikkaita;Huiveja/ponchoja,Kotona/vapaa-ajan asunnolla,Perheen seurassa,10-19 tuntia,"Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Austermann;Gjestal;Kaupunkilanka;Lankava;Novita;Opal;Regia,Konepestävyys;Materiaali;Vahvuus,Perheelle;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Pitsineuletta,"Mustaa, valkoista ja harmaata;Sinistä;Punaista;Lilaa/violettia","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla,Koivu;Bambu,Virkkaus;Kirjonta/ristipistot;Askartelu,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa,Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry,Fingering (360–450 m / 100 g);Worsted (200–240 m / 100 g)
323,323,323,Nainen,11,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja;Housuja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Autossa;Odotustilassa (esim. terveyskeskus/virasto),Yksin,20-29 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Ahdistusen hallintaa, ajan täyttämistä",20 - 29 €,"Jalovilla;Pirtin Kehräämö;Rva Silmusolmu;Tukuwool;Vuonue;Aurinkokehrä, Saimas spinnery, Sundö gård, nykyään pelkkää kotimaista lankaa",Kotimaisuusaste;Materiaali;Villan alkuperä,Itselle,Lace (605–1000 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Netistä;Omasta päästä,Raitoja;Palmikkoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite,Metalli,Puutyöt;Kehrään värttinällä,Kuuntelen äänikirjaa;Katson televisiota,Neulepodcastit;Facebook-ryhmät;Ravelry;Youtube,Lace (600–1000 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
324,324,324,Nainen,8,Äiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Luennolla/Palaverissa,Yksin,20-29 tuntia,Rentoutumista;Itseilmaisua;Luovuutta;Tarpeeseen tekemistä,30 - 39 €,Austermann;DROPS;Freija yarn;Gjestal;Istex;Katia;Lankava;Novita;Sandnes Garn,Hinta;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Pitsineuletta;Palmikkoneuletta;Toistuvaa pintakuviota;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Pinkkiä;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Puuvilla;Merinovilla;Alpakka;Mohair;Silkki;Bambu;Pellava;Viskoosi/lyocell,Koivu,Virkkaus;Kirjonta/ristipistot;Kudonta;Ompelu;Macrame;Huovutus;Tuftaus,Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry;Neuleblogit;TikTok,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
